City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,22.72,35,0,2.81,ZA,1693296478
1,lebu,-37.6167,-73.65,8.68,76,79,1.96,CL,1693296478
2,usogorsk,63.4106,48.6872,14.84,55,62,0.88,RU,1693296478
3,kudahuvadhoo,2.6708,72.8944,27.47,75,89,4.69,MV,1693296479
4,puerto natales,-51.7236,-72.4875,-0.77,92,96,1.47,CL,1693296479
5,margate,51.3813,1.3862,15.94,77,14,1.79,GB,1693296480
6,coihueco,-36.6167,-71.8333,7.41,100,3,1.03,CL,1693296480
7,waitangi,-43.9535,-176.5597,8.79,78,46,2.24,NZ,1693296374
8,isafjordur,66.0755,-23.124,9.02,87,100,2.06,IS,1693296481
9,nadym,65.5333,72.5167,18.13,42,64,8.49,RU,1693296482
10,adamstown,-25.066,-130.1015,21.62,83,99,11.0,PN,1693296483
11,avarua,-21.2078,-159.775,20.03,77,75,1.03,CK,1693296484
12,anqing,30.5092,117.0506,25.39,77,98,3.82,CN,1693296484
13,nyurba,63.2842,118.3319,26.05,29,0,2.04,RU,1693296486
14,sao felix do xingu,-6.6447,-51.995,24.65,61,45,0.04,BR,1693296487
15,invercargill,-46.4,168.35,8.9,91,40,0.45,NZ,1693296487
16,tidjikja,18.5564,-11.4271,27.92,61,93,2.85,MR,1693296487
17,kota tinggi,1.7381,103.8999,32.97,72,64,2.81,MY,1693296488
18,wailua homesteads,22.0669,-159.378,26.44,79,40,6.17,US,1693296489
19,mitu,1.1983,-70.1733,21.53,99,92,1.11,CO,1693296489
20,bethel,41.3712,-73.414,19.72,86,20,1.54,US,1693296490
21,gurupi,-11.7292,-49.0686,25.21,63,3,1.87,BR,1693296245
22,grytviken,-54.2811,-36.5092,1.09,85,97,5.48,GS,1693296491
23,enewetak,11.3474,162.3373,28.89,80,86,7.22,MH,1693296492
24,bilibino,68.0546,166.4372,8.78,77,100,2.46,RU,1693296492
25,iqaluit,63.7506,-68.5145,4.85,81,75,4.63,CA,1693296252
26,lycksele,64.5954,18.6735,15.8,88,75,2.06,SE,1693296494
27,san antonio de pale,-1.4014,5.6325,23.88,86,100,4.26,GQ,1693296495
28,laguna,38.421,-121.4238,23.51,59,0,2.57,US,1693296496
29,west island,-12.1568,96.8225,28.99,61,50,3.6,CC,1693296269
30,nagato,34.3833,131.2,29.39,70,24,6.17,JP,1693296410
31,hithadhoo,-0.6,73.0833,27.9,72,49,2.36,MV,1693296497
32,kingston,17.997,-76.7936,26.8,88,83,1.12,JM,1693296374
33,coalcoman de vazquez pallares,18.7833,-103.15,19.74,98,53,0.96,MX,1693296498
34,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,82,40,2.0,RU,1693296367
35,ushuaia,-54.8,-68.3,0.65,92,100,3.63,AR,1693296499
36,la union,-5.4,-80.75,19.89,80,0,3.54,PE,1693296499
37,port-aux-francais,-49.35,70.2167,3.37,78,57,14.03,TF,1693296501
38,huarmey,-10.0681,-78.1522,18.94,85,2,2.92,PE,1693296502
39,solnechnyy,50.7214,136.6319,20.95,65,100,1.14,RU,1693296502
40,scottburgh,-30.2867,30.7532,20.15,60,0,6.4,ZA,1693296503
41,college,64.8569,-147.8028,11.61,86,75,2.06,US,1693296503
42,hammerfest,70.6634,23.6821,15.25,67,0,1.54,NO,1693296504
43,lihue,21.9789,-159.3672,26.77,75,40,6.17,US,1693296504
44,argo,37.6333,22.7333,28.21,24,4,2.04,GR,1693296505
45,port mathurin,-19.6833,63.4167,22.81,69,5,8.61,MU,1693296506
46,tiksi,71.6872,128.8694,11.22,72,51,2.71,RU,1693296506
47,whitehorse,60.7161,-135.0538,16.68,84,3,2.69,CA,1693296507
48,labytnangi,66.6572,66.4183,15.61,49,13,4.7,RU,1693296508
49,cambria,35.5641,-121.0808,21.03,51,0,3.49,US,1693296509
50,port lincoln,-34.7333,135.8667,15.4,82,66,7.17,AU,1693296510
51,salalah,17.0151,54.0924,30.05,74,75,3.6,OM,1693296510
52,port elizabeth,-33.918,25.5701,22.16,40,0,4.12,ZA,1693296347
53,nagqu,31.5,92.0,16.34,41,95,4.16,CN,1693296461
54,puerto ayora,-0.7393,-90.3518,24.19,88,40,3.13,EC,1693296511
55,kyzyl-suu,42.3414,78.0056,16.87,48,0,3.2,KG,1693296512
56,livingstone,-17.8419,25.8543,19.91,34,0,4.3,ZM,1693296512
57,margaret river,-33.95,115.0667,15.82,56,6,5.73,AU,1693296436
58,blackmans bay,-43.0167,147.3167,14.07,82,100,0.95,AU,1693296513
59,vila velha,-20.3297,-40.2925,19.97,99,100,2.57,BR,1693296514
60,fisterra,42.9049,-9.2629,18.19,81,89,4.45,ES,1693296514
61,prainha,-1.8,-53.48,23.06,69,0,1.42,BR,1693296514
62,qiziltepa,40.0331,64.85,29.53,12,0,2.55,UZ,1693296515
63,ginir,7.1333,40.7,20.35,52,87,6.15,ET,1693296516
64,papatowai,-46.5619,169.4708,6.98,93,38,2.68,NZ,1693296516
65,chukhloma,58.7525,42.6825,14.98,49,98,1.14,RU,1693296516
66,port alfred,-33.5906,26.891,21.21,64,0,3.91,ZA,1693296517
67,williston,48.147,-103.618,21.84,46,1,1.24,US,1693296517
68,dali,25.7,100.1833,20.07,73,98,1.23,CN,1693296518
69,edinburgh of the seven seas,-37.0676,-12.3116,11.18,74,78,9.86,SH,1693296518
70,nova sintra,14.8667,-24.7167,23.66,79,35,7.27,CV,1693296518
71,tolanaro,-25.0319,46.9987,20.64,62,100,5.14,MG,1693296519
72,tralee,52.2704,-9.7026,12.14,94,20,2.06,IE,1693296519
73,ust-nera,64.5667,143.2,20.63,55,74,1.88,RU,1693296520
74,thompson,55.7435,-97.8558,7.67,96,15,1.82,CA,1693296520
75,lazaro cardenas,17.9583,-102.2,26.58,86,19,0.92,MX,1693296521
76,chonchi,-42.6128,-73.8092,6.18,89,100,2.74,CL,1693296522
77,revel,43.4667,2.0,17.01,80,84,6.29,FR,1693296522
78,jamestown,42.097,-79.2353,17.79,97,75,0.89,US,1693296523
79,tejen,37.3834,60.5054,36.44,11,0,6.64,TM,1693296523
80,portland,45.5234,-122.6762,18.75,78,76,0.89,US,1693296524
81,vorgashor,67.5833,63.95,11.17,68,100,2.78,RU,1693296385
82,chaadayevka,53.1427,45.9122,17.57,44,0,6.11,RU,1693296525
83,vilyuchinsk,52.9306,158.4028,15.15,90,72,1.64,RU,1693296525
84,prado,-17.3411,-39.2208,20.6,96,97,3.27,BR,1693296527
85,nar'yan-mar,67.6713,53.087,11.08,68,100,2.37,RU,1693296527
86,taoudenni,22.6783,-3.9836,36.3,31,29,3.73,ML,1693296528
87,cabras,39.93,8.5314,23.01,56,5,10.44,IT,1693296528
88,berezovyy,51.6667,135.7,23.19,52,69,2.34,RU,1693296529
89,sume,-7.6717,-36.88,20.31,94,31,2.46,BR,1693296529
90,san patricio,28.017,-97.5169,29.91,69,1,1.73,US,1693296530
91,ribeira grande,38.5167,-28.7,23.22,94,75,5.36,PT,1693296442
92,luderitz,-26.6481,15.1594,25.11,38,0,3.93,NA,1693296530
93,udachny,66.4167,112.4,23.03,46,69,2.27,RU,1693296284
94,iskateley,67.6803,53.1512,11.19,67,100,2.33,RU,1693296531
95,vernon,50.2581,-119.2691,21.83,45,0,0.45,CA,1693296531
96,kalas,18.1667,74.8,31.32,41,86,5.15,IN,1693296532
97,san pedro,14.35,121.0167,29.57,84,75,7.2,PH,1693296246
98,jaszapati,47.5167,20.15,24.95,52,100,4.03,HU,1693296533
99,kerikeri,-35.2268,173.9474,9.39,88,61,0.44,NZ,1693296534
100,jiuquan,39.7432,98.5174,31.6,15,0,13.01,CN,1693296456
101,san pedro de cajas,-11.2511,-75.8617,3.16,90,14,1.47,PE,1693296534
102,klyuchi,52.2667,79.1667,23.73,31,0,4.44,RU,1693296535
103,boyolangu,-8.1181,111.8935,26.77,62,16,4.88,ID,1693296535
104,alesund,62.4723,6.1549,14.95,91,75,2.06,NO,1693296536
105,tura,25.5198,90.2201,30.95,62,100,1.85,IN,1693296537
106,kolonia town,6.964,158.206,28.47,75,100,3.2,FM,1693296538
107,cabo san lucas,22.8909,-109.9124,30.42,75,18,3.85,MX,1693296311
108,severo-yeniseyskiy,60.3725,93.0408,24.03,56,100,4.7,RU,1693296539
109,revelstoke,50.9832,-118.2023,17.56,57,0,0.85,CA,1693296540
110,kone,-21.0595,164.8658,20.07,80,93,2.66,NC,1693296540
111,priob'ye,62.5206,65.5964,17.53,47,99,9.07,RU,1693296540
112,bohorodchany,48.807,24.5383,29.27,39,22,2.66,UA,1693296541
113,tome acu,-2.4189,-48.1522,21.58,100,22,1.13,BR,1693296542
114,hermanus,-34.4187,19.2345,20.86,50,0,4.63,ZA,1693296543
115,sisimiut,66.9395,-53.6735,5.59,94,100,3.52,GL,1693296544
116,puerto deseado,-47.7503,-65.8938,5.78,60,44,6.05,AR,1693296546
117,priozersk,61.0393,30.1291,22.27,95,44,5.56,RU,1693296546
118,alice springs,-23.7,133.8833,29.75,8,0,3.09,AU,1693296547
119,amurzet,47.6967,131.0981,19.66,80,100,4.37,RU,1693296548
120,utrik,11.2278,169.8474,28.39,78,97,5.96,MH,1693296549
